plant,factory,vendor,vendor_name,material,material_desc,effective_date[dd/mm/yyyy],avai_capacity,price
6336,F36,208815,TAN KOK TONG TRANSPORT & TRADING,21000001,EMPTY FRUIT BUNCH FIBER,01/01/2022,500,60
4027,F27,209362,MEGA SENSASI JAYA SDN BHD,21000001,EMPTY FRUIT BUNCH FIBER,01/01/2022,250,34
4027,F27,205795,LUI SAWIT ENTERPRISE,21000001,EMPTY FRUIT BUNCH FIBER,01/01/2022,200,35
1105,F5/F23,204134,PDTC SDN BHD,21000004,PALM KERNEL SHELL,01/01/2022,300,275
1105,F5/F23,209411,SPYNIE MAJU JAYA ENTERPRISE,21000004,PALM KERNEL SHELL,01/01/2022,200,275
1105,F5/F23,208130,GREAT ORGANIC SDN BHD,21000004,PALM KERNEL SHELL,01/01/2022,80,300
1105,F5/F23,207123,SOON TEIK ENTERPRISE SDN BHD,21000004,PALM KERNEL SHELL,01/01/2022,300,280
4027,F27,206396,CLASSIC PALM OIL MILL SDN BHD,21000004,PALM KERNEL SHELL,01/01/2022,200,259
4027,F27,206793,MULTI BIO RESOURCES & SUPPLIES,21000004,PALM KERNEL SHELL,01/01/2022,100,262
4027,F27,205795,LUI SAWIT ENTERPRISE,21000004,PALM KERNEL SHELL,01/01/2022,200,270
4027,F27,207259,SIMPANGAN KURNIA SDN BHD,21000004,PALM KERNEL SHELL,01/01/2022,150,290
4027,F27,206401,MIN ONN LORRY TRANSPORT SDN BHD,21000004,PALM KERNEL SHELL,01/01/2022,300,259
4027,F27,207682,BP REALTY & PLANTATION SDN BHD,21000004,PALM KERNEL SHELL,01/01/2022,300,270
4027,F27,208130,GREAT ORGANIC SDN BHD,21000004,PALM KERNEL SHELL,01/01/2022,80,300
4033,F33,206396,CLASSIC PALM OIL MILL SDN BHD,21000004,PALM KERNEL SHELL,01/01/2022,200,259
4033,F33,208130,GREAT ORGANIC SDN BHD,21000004,PALM KERNEL SHELL,01/01/2022,80,300
4033,F33,206401,MIN ONN LORRY TRANSPORT SDN BHD,21000004,PALM KERNEL SHELL,01/01/2022,300,259
4033,F33,205795,LUI SAWIT ENTERPRISE,21000004,PALM KERNEL SHELL,01/01/2022,300,265
4033,F33,207452,PIMPINAN MEGAMAS SDN BHD,21000004,PALM KERNEL SHELL,01/01/2022,400,275
4033,F33,207682,BP REALTY & PLANTATION SDN BHD,21000004,PALM KERNEL SHELL,01/01/2022,300,270
4027,F27,202388,TOP BIOMASS RESOURCES,21000096,PKS GRANULE,01/01/2022,150,195
1105,F5/F23,204134,PDTC SDN BHD,21000010,SHORT EFB,01/01/2022,500,48
1105,F5/F23,200906,HK KITARAN SDN BHD,21000010,SHORT EFB,01/01/2022,600,53
1105,F5/F23,206793,MULTI BIO RESOURCES & SUPPLIES,21000010,SHORT EFB,01/01/2022,300,48
1105,F5/F23,209412,MUAZIQ ENGINEERING SDN BHD,21000010,SHORT EFB,01/01/2022,700,40
1105,F5/F23,209411,SPYNIE MAJU JAYA ENTERPRISE,21000010,SHORT EFB,01/01/2022,300,48
