plant,factory,vendor,vendor_name,material,material_desc,effective_date[dd/mm/yyyy],avai_capacity,price
4027,F27,201440,MAWAR SAKSAMA (M) SDN BHD,21000005,WOOD CHIP,01/02/2022,200,155
4027,F27,206793,MULTI BIO RESOURCES & SUPPLIES,21000005,WOOD CHIP,01/02/2022,200,153
4027,F27,203963,GENIUSWOOD SDN BHD,21000005,WOOD CHIP,01/02/2022,500,160
4033,F33,202598,WIN M TRADING,21000005,WOOD CHIP,01/02/2022,200,150
4033,F33,202388,TOP BIOMASS RESOURCES,21000005,WOOD CHIP,01/02/2022,300,154
4033,F33,202368,TIEN CHUNG TRADING SDN BHD,21000005,WOOD CHIP,01/02/2022,200,154
1105,F5/F23,207994,MEGA WIJAYA ENTERPRISE,21000007,WOOD PELLET,01/02/2022,600,430
1105,F5/F23,202388,TOP BIOMASS RESOURCES,21000007,WOOD PELLET,01/02/2022,300,380
1105,F5/F23,202767,YMY GLOBAL TRADING,21000007,WOOD PELLET,01/02/2022,200,369
6336,F36,208812,HK GUA MUSANG SDN BHD,21000001,EMPTY FRUIT BUNCH FIBER,01/02/2022,2000,65
6336,F36,206793,MULTI BIO RESOURCES & SUPPLIES,21000001,EMPTY FRUIT BUNCH FIBER,01/02/2022,2000,56
6336,F36,202767,YMY GLOBAL TRADING,21000001,EMPTY FRUIT BUNCH FIBER,01/02/2022,1000,57
6336,F36,208815,TAN KOK TONG TRANSPORT & TRADING,21000001,EMPTY FRUIT BUNCH FIBER,01/02/2022,500,60
4027,F27,209362,MEGA SENSASI JAYA SDN BHD,21000001,EMPTY FRUIT BUNCH FIBER,01/02/2022,300,34
4027,F27,206396,CLASSIC PALM OIL MILL SDN BHD,21000004,PALM KERNEL SHELL,01/02/2022,200,265
4027,F27,206793,MULTI BIO RESOURCES & SUPPLIES,21000004,PALM KERNEL SHELL,01/02/2022,120,268
4027,F27,207259,SIMPANGAN KURNIA SDN BHD,21000004,PALM KERNEL SHELL,01/02/2022,110,310
4027,F27,206401,MIN ONN LORRY TRANSPORT SDN BHD,21000004,PALM KERNEL SHELL,01/02/2022,330,260
