plant,factory,vendor,vendor_name,material ,material_desc,effective_date[dd/mm/yyyy],avai_capacity,price
4033,F33,206793,MULTI BIO RESOURCES & SUPPLIES,21000004,PALM KERNEL SHELL,01/10/2021,200,260
4033,F33,208130,GREAT ORGANIC SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,120,292
4033,F33,206401,MIN ONN LORRY TRANSPORT SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,400,260
4033,F33,207452,PIMPINAN MEGAMAS SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,300,280
4033,F33,207682,BP REALTY & PLANTATION SDN BHD,21000004,PALM KERNEL SHELL,01/10/2021,1000,295
4027,F27,202388,TOP BIOMASS RESOURCES,21000096,PKS GRANULE,01/10/2021,150,195
1105,F5/F23,204134,PDTC SDN BHD,21000010,SHORT EFB,01/10/2021,500,48
1105,F5/F23,200906,HK KITARAN SDN BHD,21000010,SHORT EFB,01/10/2021,600,53
1105,F5/F23,206793,MULTI BIO RESOURCES & SUPPLIES,21000010,SHORT EFB,01/10/2021,300,48
1105,F5/F23,209411,SPYNIE MAJU JAYA ENTERPRISE,21000010,SHORT EFB,01/10/2021,500,48
1105,F5/F23,202388,TOP BIOMASS RESOURCES,21000010,SHORT EFB,01/10/2021,,48
1105,F5/F23,209411,SPYNIE MAJU JAYA ENTERPRISE,21000058,RICE HUSK PELLET,01/10/2021,400,285
1105,F5/F23,207123,SOON TEIK ENTERPRISE SDN BHD,21000058,RICE HUSK PELLET,01/10/2021,600,245
