plant,factory,vendor,vendor_name,material,material_desc,effective_date[dd/mm/yyyy],avai_capacity,price
1105,F5/F23,202388,TOP BIOMASS RESOURCES,21000007,WOOD PELLET,1/3/2022,250,400
1105,F5/F23,202767,YMY GLOBAL TRADING,21000007,WOOD PELLET,1/3/2022,200,369
6336,F36,208814,VILA SUTERA SDN BHD,21000001,EMPTY FRUIT BUNCH FIBER,1/3/2022,300,46
6336,F36,208812,HK GUA MUSANG SDN BHD,21000001,EMPTY FRUIT BUNCH FIBER,1/3/2022,1000,65
6336,F36,206793,MULTI BIO RESOURCES & SUPPLIES,21000001,EMPTY FRUIT BUNCH FIBER,1/3/2022,1000,56
6336,F36,202767,YMY GLOBAL TRADING,21000001,EMPTY FRUIT BUNCH FIBER,1/3/2022,1000,57
6336,F36,208815,TAN KOK TONG TRANSPORT & TRADING,21000001,EMPTY FRUIT BUNCH FIBER,1/3/2022,500,60
4027,F27,206793,MULTI BIO RESOURCES & SUPPLIES,21000001,EMPTY FRUIT BUNCH FIBER,1/3/2022,300,36
4027,F27,209362,MEGA SENSASI JAYA SDN BHD,21000001,EMPTY FRUIT BUNCH FIBER,1/3/2022,250,34
4027,F27,206396,CLASSIC PALM OIL MILL SDN BHD,21000004,PALM KERNEL SHELL,1/3/2022,200,268
4027,F27,206793,MULTI BIO RESOURCES & SUPPLIES,21000004,PALM KERNEL SHELL,1/3/2022,120,270
4027,F27,207259,SIMPANGAN KURNIA SDN BHD,21000004,PALM KERNEL SHELL,1/3/2022,110,310
4027,F27,206401,MIN ONN LORRY TRANSPORT SDN BHD,21000004,PALM KERNEL SHELL,1/3/2022,280,263
4027,F27,208130,GREAT ORGANIC SDN BHD,21000004,PALM KERNEL SHELL,1/3/2022,120,295
4033,F33,206396,CLASSIC PALM OIL MILL SDN BHD,21000004,PALM KERNEL SHELL,1/3/2022,200,268
4033,F33,208130,GREAT ORGANIC SDN BHD,21000004,PALM KERNEL SHELL,1/3/2022,120,295
4033,F33,206401,MIN ONN LORRY TRANSPORT SDN BHD,21000004,PALM KERNEL SHELL,1/3/2022,250,263
4033,F33,207452,PIMPINAN MEGAMAS SDN BHD,21000004,PALM KERNEL SHELL,1/3/2022,400,285
4033,F33,207682,BP REALTY & PLANTATION SDN BHD,21000004,PALM KERNEL SHELL,1/3/2022,300,285
4027,F27,202388,TOP BIOMASS RESOURCES,21000096,PKS GRANULE,1/3/2022,150,195
1105,F5/F23,204134,PDTC SDN BHD,21000010,SHORT EFB,1/3/2022,500,45
1105,F5/F23,200906,HK KITARAN SDN BHD,21000010,SHORT EFB,1/3/2022,500,53
1105,F5/F23,206793,MULTI BIO RESOURCES & SUPPLIES,21000010,SHORT EFB,1/3/2022,300,40
1105,F5/F23,209412,MUAZIQ ENGINEERING SDN BHD,21000010,SHORT EFB,1/3/2022,900,40
1105,F5/F23,209411,SPYNIE MAJU JAYA ENTERPRISE,21000010,SHORT EFB,1/3/2022,300,45
